Sr. No.,Name of the University,State,CGPA,Grade
1,"Acharya Nagarjuna University,Guntur 522510 (Third Cycle)",Andhra Pradesh,3.08,A
2,"Andhra University,Visakhapatnam530003 (Third Cycle)",Andhra Pradesh,3.6,A
3,"DR.B.R.AMBEDKAR UNIVERSITY, SRIKAKULAM,Dr.B.R.Ambedkar University, Srikakulam 
 Etcherla - 532 410
 Srikakulam
 Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,532410 (First Cycle)",Andhra Pradesh,2.25,B
4,"Gandhi Institute of Technology and Management [GITAM] (Deemed-to-be-University u/s 3 of the UGC Act 1956), Rushikonda, Visakhapatnam  530045 (Second Cycle)",Andhra Pradesh,3.53,A+
5,"Jawaharlal Nehru Technological University Kakinada, East Godavari, Kakinada  533003 (First Cycle)",Andhra Pradesh,2.67,B+
6,"Rashtriya Sanskrit Vidyapeetha (Deemed-to-be-University u/s 3 of the UGC Act 1956), Tirupati  517507 (Second Cycle)",Andhra Pradesh,3.71,A
7,Sri Krishnadevaraya University Anantapur  515003 (Third Cycle),Andhra Pradesh,2.85,B
8,"Sri Padmavati Mahila Visvavidyalayam, Tirupati  517502 (Third Cycle)",Andhra Pradesh,3.11,A
9,"Sri Sathya Sai Institute of Higher Learning, (Deemed to be University), Vidyagiri, Prasanthi Nilayam-515134 Anantapuramu District,Prasanthi Nilayam,Andhra Pradesh,515134 (Third Cycle)",Andhra Pradesh,2.90,B++
10,"Sri Venkateswara University, Tirupati, Chittoor - 517502 (Third Cycle)",Andhra Pradesh,3.52,A+
11,Vignan's Foundation for Science Technology and Research Vadlamudi (Second Cycle),Andhra Pradesh,3.49,A+
12,Yogi Vemana University Kadapa (Cuddapah)  516003 (First Cycle),Andhra Pradesh,2.54,B
13,"Dravidian University ,Srinivasavanam, Kuppam,Chittoor - 517426 (First Cycle)",Andhra Pradesh,2.23,B
14,"Koneru Lakshmaiah Education Foundation (Deemed-to-be-University u/s 3 of the UGC Act 1956),Green Fields, Vaddeswaram,Guntur - 522502 (Second Cycle)",Andhra Pradesh,3.57,A++
15,"Rayalaseema University,National Highway 40, Nandyal Road,Kurnool - 518007 (First Cycle)",Andhra Pradesh,2.45,B
16,"ARUNACHAL UNIVERSITY OF STUDIES, KNOWLEDGE CITY, NH-52 NAMSAI, DISTRICT- NAMSAI ARUNACHAL PRADESH, NAMSAI-792103 (First Cycle)",Arunachal Pradesh,1.72,C
17,"National Institute of Technology, Itanagar  791112 (First Cycle)",Arunachal Pradesh,2.34,B
18,"Rajiv Gandhi University, Rono Hills, Itanagar, 791112 (Second Cycle)",Arunachal Pradesh,2.4,B
19,Assam Don Bosco University (Second Cycle),Assam,3.08,A
20,"ASSAM DOWN TOWN UNIVERSITY,SANKAR MADHAB PATH, GANDHINAGAR, PANIKHAITI,GUWAHATI , 781026  (First Cycle)",Assam,2.23,B
21,"Dibrugarh University, Dibrugarh  786004 (Third Cycle)",Assam,3.16,A
22,"KRISHNA KANTA HANDIQUI STATE OPEN UNIVERSITY,Patgaon, Rani Gate, Rani,Guwahati,Assam,781017 (First Cycle)",Assam,2.68,B+
23,"KUMAR BHASKAR VARMA SANSKRIT AND ANCIENT STUDIES UNIVERSITY,Vill Namati, P.O Hati Namati, Nalbari,Nalbari,Assam,781337 (First Cycle)",Assam,2.57,B+
24,"Tezpur University, Tezpur  784028 (Third Cycle)",Assam,3.25,A
25,"Gauhati University ,Gopinath Bardoloi Nagar,Guwahati - 781014 (Third Cycle)",Assam,3.04,A
26,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur  842001 (First Cycle)",Bihar,2.27,B
27,"Central University of South Bihar, Patna  800014 (First Cycle)",Bihar,3.01,A
28,"Kameshwar Singh Darbhanga Sanskrit University, Darbhanga  846008 (Second Cycle)",Bihar,2.7,B
29,"Lalit Narayan Mithila University,Kameshwarnagar, Darbhanga, 846004 (Second Cycle)",Bihar,2.46,B
30,"Magadh University, Bodhgaya, Gaya  824234 (First Cycle)",Bihar,1.76,C
31,"PATNA UNIVERSITY, Ashok Rajpath, Near Patna College,Patna,Bihar,800005 (First Cycle)",Bihar,2.55,B+
32,"Tilka Manjhi Bhagalpur University, Bhagalpur  812007 (Second Cycle)",Bihar,2.5,B
33,"Chanakya National Law University, Near Jakkanpur Police Station, Nyaya Nagar, Mithapur, Patna-800001, Bihar (Second Cycle)",Bihar,2.17,B
34,"Panjab University, Sector 14, Chandigarh, 160014 (Third Cycle)",Chandigarh,3.35,A
35,"PUNJAB ENGINEERING COLLEGE (DEEMED TO BE UNIVERSITY), CHANDIGARH , Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh-160012,CHANDIGARH,Chandigarh,160012 (First Cycle)",Chandigarh,2.71,B+
36,"Dr. C. V. Raman University, Bilaspur  495113 (First Cycle)",Chhattisgarh,2.61,B+
37,"Kalinga University
 Village - Kotni, Near Mantralaya, 
 Naya Raipur,Raipur,Chhattisgarh,492101",Chhattisgarh,2.60,B+
38,"MATS University ,Kharora Highway, Gullu, Aarang,Raipur - 493441 (First Cycle)",Chhattisgarh,2.76,B++
39,"Pandit Ravishankar Shukla University, Raipur  492010 (Third Cycle)",Chhattisgarh,3.02,A
40,"SANT GAHIRA GURU VISHWAVIDYALAYA, SARGUJA,New Hospital Road , Darripara,Ambikapur(C.G.),AMBIKAPUR , 497001 Chhattisgarh (First Cycle)",Chhattisgarh,1.76,C
41,"DELHI TECHNOLOGICAL UNIVERSITY,Bawana Road Shahbad Daulatpur,Delhi , 110042 (First Cycle)",Delhi,3.22,A
42,"Indian Agricultural Research Institute (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Delhi  110012 (First Cycle)",Delhi,3.51,A+
43,"Indian Institute of Foreign Trade (Deemed to be University u/s 3 of the UGC Act 1956), Qutab Institutional Area, 110016 (Second Cycle)",Delhi,3.53,A
44,"Indian Law Institute (Deemed-to-be-University u/s 3 of the UGC Act 1956), Delhi  110001 (First Cycle)",Delhi,3.35,A
45,"INDIRA GANDHI NATIONAL OPEN UNIVERSITY, Indira Gandhi National Open University
 Maidan Garhi
 New Delhi,New Delhi,Delhi,110068 (First Cycle)",Delhi,3.56,A++
